variable,cepat_kode,nama,tingkat_pendidikan_id
u,4100734,D-III KEBIJAKAN PUBLIK,30
u,4609093,D-III KEHUMASAN,30
u,4100193,D-III KEHUTANAN,30
u,4416200,D-III KELAUTAN,30
u,4100634,D-III KEPARIWISATAAN,30
u,4480138,D-III KEPELATIHAN OLAHRAGA,30
u,4475243,D-III KEPENATAAN ANESTESI,30
u,4100230,D-III KEPERAWATAN,30
u,4470027,D-III KEPERAWATAN ANESTESI,30
u,4100808,D-III KEPERAWATAN ANESTESIOLOGI,30
u,4480227,D-III KEPERAWATAN DENGAN KONSENTRASI ANESTESI DAN GAWAT DARURAT MEDIK,30
u,4411051,D-III KEPERAWATAN GIGI,30
u,4480352,D-III KEPERAWATAN YANG MEMILIKI SERTIFIKAT PELATIHAN ANESTESI SEBELUM 1 JUNI 2021,30
u,4475249,D-III KESEHATAN DAN KESELAMATAN KERJA,30
u,4411015,D-III KESEHATAN GIGI,30
u,4415312,D-III KESEHATAN HEWAN,30
u,4470023,D-III KESEHATAN HEWAN DAN MASYARAKAT VETERINER,30
u,4411091,D-III KESEHATAN LINGKUNGAN,30
u,4480356,D-III KESEHATAN LINGKUNGAN (PEMINATAN/KONSENTRASI ENTOMOLOGI KESEHATAN),30
u,4415311,D-III KESEHATAN MASYARAKAT,30
u,4480139,D-III KESEHATAN MASYARAKAT VETERINER,30
u,4415310,D-III KESEHATAN TERNAK,30
u,4480140,D-III KESEJAHTERAAN HEWAN,30
u,4401034,D-III KESEKRETARIATAN,30
u,4600077,D-III KESEKRETARIATAN BK. PERPUSTAKAAN DAN ARSIP,30
u,4100735,D-III KESELAMATAN KERJA DAN PENCEGAHAN KEBAKARAN,30
u,4400132,D-III KESELAMATAN TRANSPORTASI DARAT,30
u,4400136,D-III KESELAMATAN TRANSPORTASI JALAN,30
u,4480229,D-III KETALAKSANAAN PELAYARAN NIAGA DAN PELABUHAN,30
u,4480230,D-III KETATALAKSANAAN PELAYARAN NIAGA DAN KEPELABUHAN,30
u,4609088,D-III KETATALAKSANAAN PELAYARAN NIAGA DAN PELABUHAN,30
u,4401230,D-III KEUANGAN DAN PERBANKAN,30
u,4609108,D-III KIMIA,30
u,4432000,D-III KIMIA ANALISIS,30
u,4430010,D-III KIMIA INDUSTRI,30
u,4100002,D-III KIMIA TEKSTIL,30
u,4430020,D-III KIMIA TERAPAN,30
u,4450000,D-III KOMPUTER,30
u,4450060,D-III KOMPUTER AKUNTANSI,30
u,4609107,D-III KOMPUTER DAN INFORMATIKA,30
u,4470072,D-III KOMPUTER DAN SISTEM INFORMASI,30
u,4450003,D-III KOMPUTER MULTIMEDIA,30
u,4470086,D-III KOMPUTERISASI AKUNTANSI,30
u,4420000,D-III KOMUNIKASI,30
u,4480233,D-III KOMUNIKASI BROADCASTING,30
u,4100975,D-III KOMUNIKASI HUMAS,30
u,4100154,D-III KOMUNIKASI MASSA,30
u,4100390,D-III KOMUNIKASI PEMBANGUNAN,30
u,4177211,D-III KOMUNIKASI PENYIARAN ISLAM,30
u,4415120,D-III KONSERVASI SUMBER DAYA HUTAN,30
u,4417035,D-III KONSTRUKSI GEDUNG,30
u,4480234,D-III KONSTRUKSI JALAN DAN JEMBATAN,30
u,4417034,D-III KONSTRUKSI SIPIL,30
u,4470081,D-III KOPERASI,30
u,4470079,D-III KRIYA KAYU,30
u,4100602,D-III KRIYA LOGAM,30
u,4100640,D-III LABORATORIUM SAINS,30
u,4100971,D-III LALU LINTAS ANGKUTAN JALAN,30
u,4100181,D-III LALU LINTAS ANGKUTAN SUNGAI DAN PENYEBERANGAN/LLASDP,30
u,4100030,D-III LALU LINTAS ANGKUTAN SUNGAI DANAU DAN PENYEBERANGAN,30
u,4400230,"D-III LALU LINTAS ANGKUTAN SUNGAI, DANAU DAN PENYEBERANGAN",30
u,4405053,D-III LALU LINTAS DAN ANGKUTAN JALAN,30
u,4405050,D-III LALU LINTAS DAN ASDP,30
u,4100642,D-III LALULINTAS DAN ANGKUTAN JALAN RAYA,30
u,4415700,D-III LINGKUNGAN,30
u,4400250,D-III LINGKUNGAN INDUSTRI,30
u,4100291,D-III LL ANGKUTAN SUNGAI DAN PENYEBERANGAN,30
u,4405011,D-III LLAJ,30
u,4100251,D-III LLAJR,30
u,4100544,D-III LLASD,30
u,4470156,D-III LOGISTIK,30
u,4400023,D-III MANAGEMEN INFORMATIKA,30
u,4401050,D-III MANAJEMEN,30
u,4480236,D-III MANAJEMEN ADMINISTRASI,30
u,4470103,D-III MANAJEMEN ADMINISTRASI PERKANTORAN,30
u,4480235,D-III MANAJEMEN AGROBISNIS,30
u,4100581,D-III MANAJEMEN ASET,30
u,4401072,D-III MANAJEMEN BISNIS,30
u,4470172,D-III MANAJEMEN BISNIS PERIKANAN,30
u,4401017,D-III MANAJEMEN INDUSTRI,30
u,4401066,D-III MANAJEMEN INFORMASI DAN DOKUMEN,30
u,4450021,D-III MANAJEMEN INFORMATIKA,30
u,4480237,D-III MANAJEMEN INFORMATIKA,30
u,4470066,D-III MANAJEMEN INFORMATIKA DAN KOMPUTER,30
u,4100801,D-III MANAJEMEN KEARSIPAN,30
u,4402020,D-III MANAJEMEN KESEKRETARIATAN DAN PERKANTORAN,30
u,4100961,D-III MANAJEMEN KESELAMATAN TRANSPORTASI JALAN,30
u,4401076,D-III MANAJEMEN KEUANGAN,30
u,4609082,D-III MANAJEMEN KEUANGAN DAN PERBANKAN,30
u,4475167,D-III MANAJEMEN KOMPUTER,30
u,4100816,D-III MANAJEMEN KOMUNIKASI,30
u,4470119,D-III MANAJEMEN LOGISTIK,30
u,4402013,D-III MANAJEMEN LOGISTIK DAN MATERIAL,30
u,4400253,D-III MANAJEMEN MEDIA DAN KOMUNIKASI,30
u,4609120,D-III MANAJEMEN PAJAK,30
u,4401069,D-III MANAJEMEN PEMASARAN,30
u,4100604,D-III MANAJEMEN PENDIDIKAN,30
u,4470056,D-III MANAJEMEN PERKANTORAN,30
u,4480238,D-III MANAJEMEN PERKANTORAN,30
u,4480239,D-III MANAJEMEN PERSONALIA,30
u,4609115,D-III MANAJEMEN PERUSAHAAN,30
u,4100137,D-III MANAJEMEN SUMBER DAYA HUTAN,30
u,4480016,D-III MANAJEMEN SUMBER DAYA LAHAN,30
u,4450080,D-III MANAJEMEN SUMBER DAYA MANUSIA,30
u,4600017,D-III MANAJEMEN SUMBER DAYA PERAIRAN,30
u,4100655,D-III MANAJEMEN TATA BOGA,30
u,4475189,D-III MANAJEMEN TRANSPORTASI,30
u,4100802,D-III MANAJEMEN TRANSPORTASI DARAT,30
u,4100909,D-III MANAJEMEN TRANSPORTASI JALAN,30
u,4475221,D-III MANAJEMEN TRANSPORTASI LAUT,30
u,4400231,D-III MANAJEMEN TRANSPORTASI PERAIRAN DARATAN,30
u,4100905,D-III MANAJEMEN TRANSPORTASI PERKERETAAPIAN,30
u,4400113,D-III MANAJEMEN USAHA PERJALANAN WISATA,30
u,4412040,D-III MATEMATIKA,30
u,4100766,D-III MEKANISASI PERIKANAN,30
u,4475236,D-III MEKANISASI PERTANIAN,30
u,4100656,D-III MEKATRONIKA,30
u,4415210,D-III MESIN DAN PERALATAN PERIKANAN,30
u,4100657,D-III MESIN DAN PERALATAN PERTANIAN,30
u,4100005,D-III MESIN OTOMOTIF,30
u,4475200,D-III MESIN PERIKANAN,30
u,4470139,D-III METROLOGI DAN INSTRUMENTASI,30
u,4480320,D-III MIKROBIOLOGI,30
u,4412000,D-III MIPA,30
